Name,Type,Descriptor,Index,Value,Terminator,Droptable
E_HFB+30%,BONUS,HARV_FERTILITY_BOOST,,300,UPON_UNEQUIP,
E_HFB+24%,BONUS,HARV_FERTILITY_BOOST,,240,UPON_UNEQUIP,
E_HFB+18%,BONUS,HARV_FERTILITY_BOOST,,180,UPON_UNEQUIP,
HFB+50%,BONUS,HARV_FERTILITY_BOOST,,500,UPON_HARVEST_ACTION,
ATR+10%_KK,BONUS,ATK_THRESHOLD_RATIO,,100,UPON_KILL_OR_KILLED,
ATR+10%,BONUS,ATK_THRESHOLD_RATIO,,100,UPON_LIQUIDATION,
E_DTS+10%,BONUS,DEF_THRESHOLD_SHIFT,,100,UPON_UNEQUIP,
E_DTS+8%,BONUS,DEF_THRESHOLD_SHIFT,,80,UPON_UNEQUIP,
E_DTS+6%,BONUS,DEF_THRESHOLD_SHIFT,,60,UPON_UNEQUIP,
DTS-5%,BONUS,DEF_THRESHOLD_SHIFT,,-50,UPON_DEATH,
DTR-10%_KK,BONUS,DEF_THRESHOLD_RATIO,,-100,UPON_KILL_OR_KILLED,
TEMP1HARMONY,BONUS,STAT_HARMONY_SHIFT,,1,UPON_DEATH,
TEMP30HEALTH,BONUS,STAT_HEALTH_SHIFT,,30,UPON_DEATH,
TEMP10HEALTH,BONUS,STAT_HEALTH_SHIFT,,10,UPON_DEATH,
TEMP1POWER,BONUS,STAT_POWER_SHIFT,,1,UPON_DEATH,
TEMP1VIOLENCE,BONUS,STAT_VIOLENCE_SHIFT,,1,UPON_DEATH,
RMB+25%,BONUS,REST_METABOLISM_BOOST,,250,UPON_UNEQUIP,
RMB+20%,BONUS,REST_METABOLISM_BOOST,,200,UPON_UNEQUIP,
RMB+15%,BONUS,REST_METABOLISM_BOOST,,150,UPON_UNEQUIP,
CLEARALL,CLEAR_BONUS,,,,,
ITEM1102,ITEM,,1102,1,,
ITEM1003,ITEM,,1003,1,,
ITEM1006,ITEM,,1006,1,,
DT Atonement Box,ITEM_DROPTABLE,,,1,,DT Atonement Box
DT Mochibox,ITEM_DROPTABLE,,,1,,DT Mochibox
DT Booster Pack,ITEM_DROPTABLE,,,1,,Drop Table 4
DT Wonder Egg,ITEM_DROPTABLE,,,1,,Drop Table 3
DT Passport,ITEM_DROPTABLE,,,1,,Drop Table 2
DT OG,ITEM_DROPTABLE,,,1,,Drop Table 1
MOVE13,ROOM,,13,,,
STATE-RESTING,STATE,RESTING,,,,
E_HARMONY+5,STAT,HARMONY,,5,UPON_UNEQUIP,
E_HARMONY+4,STAT,HARMONY,,4,UPON_UNEQUIP,
E_HARMONY+3,STAT,HARMONY,,3,UPON_UNEQUIP,
HARMONY+1,STAT,HARMONY,,1,,
E_HEALTH+50,STAT,HEALTH,,50,UPON_UNEQUIP,
E_HEALTH+40,STAT,HEALTH,,40,UPON_UNEQUIP,
E_HEALTH+30,STAT,HEALTH,,30,UPON_UNEQUIP,
HEALTH+10,STAT,HEALTH,,10,,
HP+150,STAT,HP,,150,,
HP+75,STAT,HP,,75,,
HP+20,STAT,HP,,20,,
HP+25,STAT,HP,,25,,
HP+100,STAT,HP,,100,,
HP+50,STAT,HP,,50,,
HP+35,STAT,HP,,35,,
HP+5,STAT,HP,,5,,
HP+10,STAT,HP,,10,,
E_POWER+5,STAT,POWER,,5,UPON_UNEQUIP,
E_POWER+4,STAT,POWER,,4,UPON_UNEQUIP,
E_POWER+3,STAT,POWER,,3,UPON_UNEQUIP,
POWER+1,STAT,POWER,,1,,
E_VIOLENCE+5,STAT,VIOLENCE,,5,UPON_UNEQUIP,
E_VIOLENCE+4,STAT,VIOLENCE,,4,UPON_UNEQUIP,
E_VIOLENCE+3,STAT,VIOLENCE,,3,UPON_UNEQUIP,
VIOLENCE+1,STAT,VIOLENCE,,1,,
SP+150,STAT,SP,,150,,
SP+20,STAT,SP,,20,,
XP+50000,XP,,,50000,,
XP+5000,XP,,,5000,,
XP+1000,XP,,,1000,,
XP+15000,XP,,,15000,,
XP+100,XP,,,100,,
XP+200,XP,,,200,,
XP+25,XP,,,25,,
VIP1,VIP,,,1,,
NEXT_COOLDOWN+180,COOLDOWN,COOLDOWN,,180,,
